drug	disease	label
DB01234	C0022568	1
DB00999	C0027424	0
DB00020	C0011875	0
DB00852	C0087012	0
DB00218	C0042373	0
DB04838	C0006105	0
DB01234	C0702166	1
DB01010	C0035228	0
DB06335	C0349464	0
DB00881	C0751434	0
DB00606	C0013604	1
DB00553	C0026948	1
DB00227	C0020474	1
DB00169	C0003873	0
DB00427	C0033774	1
DB00130	C0162429	1
DB00668	C0042514	1
DB00347	C0392784	0
DB00146	C0020598	1
DB00195	C0028840	1
DB00885	C0020517	1
DB09082	C0151744	0
DB06237	C0242350	1
DB00408	C0005586	1
DB00620	C0040147	1
DB05246	C0014544	1
DB01084	C0233315	0
DB09039	C0949116	0
DB01418	C0155862	0
DB01036	C0085606	1
DB00771	C0030920	1
DB01129	C0030920	1
DB00823	C0020480	0
DB00636	C0020476	1
DB00715	C0021051	0
dabigatran	C0856727	0
DB00790	C0018802	1
DB04899	C0011581	0
DB00169	C0022661	1
DB09229	C0022548	0
DB00298	C0026961	1
DB00841	C0007789	0
DB00169	C0029456	1
DB06674	C0009324	1
DB00637	C0014474	0
DB00572	C0004096	1
DB06290	C0024305	0
DB00906	C0036572	1
DB00105	C0025202	1
DB08907	C0011860	1
DB00535	C0037199	1
DB00273	C0028754	1
DB00758	C0024523	0
methylene-blue	C0025637	1
DB01248	C0919267	1
DB00738	C0152020	0
DB00063	C0270458	0
DB14061	C0004364	0
DB00420	C0026961	0
DB13996	C0343755	0
DB01060	C0042029	1
DB00004	C0079773	1
DB00154	C0023487	0
DB00307	C0011884	0
DB01185	C0342527	1
DB00200	C0020550	1
DB06809	C0006271	0
DB00924	C0037763	1
DB00837	C0242383	0
DB00065	C0038013	1
DB00818	C0020635	0
DB05332	C0023473	0
DB00078	C0001957	0
DB00663	C0011615	1
DB09038	C0595948	0
DB00420	C0162565	1
DB01206	C0022665	1
DB00153	C0847614	0
DB00083	C0003578	0
DB00694	C0276535	0
DB00998	C0079773	0
DB00650	C0002888	1
DB01101	C0035457	0
DB11767	C0038356	0
DB01094	C0014733	0
DB01069	C0027498	1
DB00380	C0878544	1
pralidoxime-chloride	C1960397	0
DB00153	C0020626	1
DB00758	C0948089	1
DB09167	C0948089	0
DB00427	C0343065	1
DB08883	C0542346	0
DB00579	C0151740	0
DB00537	C0007134	0
DB01307	C0011854	1
DB00405	C0018621	1
DB00231	C0917801	1
benztropine-mesylate	C0036202	0
L-Arginine	C0242350	1
DB01109	C0220983	0
DB08836	C0011881	1
DB01120	C0011860	1
DB00601	C0036202	0
DB00352	C0032463	0
DB00437	C0740394	1
DB01247	C0018213	0
DB00334	C0036341	1
DB00858	C0010043	1
DB00425	C0917801	1
DB06774	C0027796	1
DB00821	C0029408	1
DB00208	C1142132	0
DB05265	C0027498	0
DB03619	C0018418	0
DB04920	C0022650	0
DB01324	C0027726	1
DB00063	C0033117	0
DB00869	C0238462	0
DB00186	C0085413	0
DB00938	C0004352	0
DB01050	C0233315	1
DB01022	C0020598	1
DB00087	C0206245	0
DB00564	C0234974	1
DB00738	C0887833	0
DB00866	C0037299	0
DB01378	C0022951	0
DB00988	C0018794	1
DB01081	C0038013	0
DB00187	C0338908	0
DB01053	C0014121	1
DB00545	C0011854	0
DB00417	C0149704	1
DB00940	C0030920	1
DB01200	C0220756	0
DB01240	C0034150	1
DB12233	C0012739	0
DB01246	C0343065	1
DB00579	C0920350	0
DB01271	C0041582	0
DB00979	C0751674	0
DB00428	C0030297	1
DB12783	C0030567	1
DB09213	C0030193	1
DB00318	C0150055	0
DB09000	C0003467	1
DB01619	C0033774	1
DB04931	C0162568	1
DB00328	C0003868	1
DB00608	C0003873	1
DB06211	C2937421	0
DB00692	C0031511	1
DB01284	C0405580	1
DB00169	C0020626	1
DB06786	C0011615	1
DB00100	C0008533	1
DB00544	C0235974	1
DB00427	C0042109	1
DB00747	C0027497	1
DB01015	C0003862	0
DB00008	C0040028	1
DB00105	C0343065	0
DB08961	C0013604	1
DB11742	C0042109	1
DB04951	C0751967	0
DB06470	C0013274	0
DB01101	C0009404	1
DB01085	C0017612	1
fludarabine-phosphate	C0017531	0
DB00242	C0021141	0
DB01030	C0042875	0
DB01365	C0023465	0
DB00850	C0346421	0
DB01430	C0005587	0
DB00801	C0020456	0
DB00883	C0022596	0
DB06480	C1565489	0
DB00475	C0003467	1
DB01229	C0020538	1
DB00688	C0019151	0
DB00104	C0007095	1
DB01122	C0040517	0
DB06203	C0019829	0
DB00682	C0917805	1
DB00584	C0003873	1
DB01222	C0035455	1
DB01267	C0033975	1
DB00523	C0011884	0
DB00800	C0020757	0
DB00994	C0042029	1
amtolmetin-guacil	C0010054	0
DB09146	C0011849	0
DB00462	C0019202	0
DB01234	C0035854	1
DB01018	C0152020	0
DB01558	C0033581	0
DB01050	C0018099	1
DB00819	C0011606	0
DB01166	C0029134	0
DB00809	C0034951	1
DB06650	C0020461	0
DB00988	C0041582	0
DB04840	C0030567	0
DB00371	C2930898	0
DB00903	C0018802	1
DB00940	C0022104	1
DB05812	C0029443	0
DB00102	C0037299	1
DB00755	C0033860	1
DB01241	C0699791	0
DB06412	C1260899	1
DB06216	C0002875	0
DB00069	C0009404	1
DB11827	C0162836	0
DB00503	C0751362	0
DB09286	C0079773	0
DB00065	C0017612	0
DB00544	C0009375	1
DB00175	C0027051	1
quinaprilat	C0678222	0
DB00218	C0010692	1
DB01156	C0085159	1
DB09220	C0018681	0
DB08801	C0042880	0
DB08992	C1527311	0
DB01409	C0024117	1
DB00230	C0006287	0
DB04920	C0020538	1
DB00138	C0029408	1
DB01143	C0039841	0
DB00552	C0870082	0
DB12836	C0029408	1
DB00145	C0035455	1
DB01367	C0028326	0
DB09091	C0014356	1
DB00747	C0026961	1
DB01085	C0017605	1
DB00035	C0019069	1
DB00136	C0020626	1
DB01348	C2748055	0
DB00264	C0027051	1
DB01194	C0268390	0
DB01050	C0018681	1
DB09121	C0030807	1
DB01222	C0847614	0
DB08835	C0020443	0
DB04838	C0011991	0
DB06287	C0242383	0
DB00060	C0009404	1
DB00110	C0149958	0
DB01234	C0029396	0
DB06616	C0032463	0
DB01234	C0026769	1
DB00223	C0079773	1
DB00467	C1408258	0
DB00620	C0002994	1
DB09286	C0948896	0
DB00959	C0033860	1
DB01212	C0014335	1
DB01080	C0006625	0
DB11181	C0038362	0
DB00968	C0036980	0
DB06271	C0022575	0
DB06218	C0035585	0
DB06766	C0020517	1
DB00158	C0162316	1
DB00908	C0003811	1
DB06684	C0014583	0
DB00635	C0010346	1
DB00221	C0038362	0
DB00412	C0020456	1
DB00593	C0005741	0
DB00413	C0038160	0
DB00976	C0002965	0
DB06764	C1134719	0
DB01356	C0085610	0
DB00670	C1704436	0
DB00861	C0282528	0
DB00823	C0014867	0
DB04665	C0009324	1
DB01698	C0032000	0
DB00763	C0149958	0
DB00446	C0025294	1
DB00136	C0042870	1
DB13179	C0149821	0
DB09038	C0011849	1
DB11591	C0009763	1
DB01165	C0030567	0
DB00343	C0027051	1
DB04896	C0032019	0
DB00063	C0040053	1
DB00412	C0011860	1
DB01234	C0005138	1
DB00914	C0034951	0
DB00175	C0020473	1
DB04106	C0018213	0
DB06594	C1263846	0
DB09035	C0007131	1
DB00445	C0006142	1
DB00341	C0033975	0
DB13873	C0020473	1
DB00620	C2607914	1
DB00757	C0006271	0
quinaprilat	C0034885	0
DB00762	C0007131	1
DB00912	C0003850	0
DB01084	C0025637	0
DB08936	C0238463	0
DB00882	C0003128	1
DB01059	C0015624	0
DB00588	C0034067	1
DB01105	C0019156	0
DB00535	C0032285	1
DB06824	C0019202	1
DB00317	C0024121	1
camostat-mesilate	C0268579	0
DB05990	C0042138	0
DB06782	C0151636	0
DB00060	C0036920	1
DB01073	C0022595	0
DB06697	C0036323	1
DB01009	C0270736	0
DB00619	C1540912	1
DB11660	C0014553	0
DB01234	C0011616	1
DB00928	C0002893	1
DB01009	C0038013	1
L-Arginine	C0346421	0
DB06228	C0034065	1
DB13167	C0003873	1
DB00034	C0524910	1
DB01401	C0039590	0
DB00363	C0036341	1
DB00620	C0405580	1
DB00841	C0020523	0
olprinone	C0018802	1
DB04519	C0042133	0
DB00994	C0032460	0
