node	type
DB12010	drug
90	protein
DB01169	drug
5371	protein
DB00459	drug
6774	protein
DB06803	drug
DB09462	drug
375	protein
DB01593	drug
226	protein
DB02709	drug
351	protein
DB06782	drug
DB00746	drug
333	protein
DB01094	drug
4547	protein
DB08827	drug
DB00619	drug
1436	protein
DB01268	drug
DB06589	drug
DB00397	drug
153	protein
DB00368	drug
DB00960	drug
DB00598	drug
DB00852	drug
DB00335	drug
DB08985	drug
DB00187	drug
DB04855	drug
DB01151	drug
DB00726	drug
DB00489	drug
DB09068	drug
DB01295	drug
DB13345	drug
clorprenaline	drug
DB00521	drug
DB00612	drug
DB01136	drug
DB01214	drug
DB00221	drug
DB00127	drug
DB11273	drug
DB00866	drug
DB00571	drug
DB00871	drug
DB08807	drug
DB00334	drug
DB06262	drug
DB01288	drug
DB01359	drug
DB05039	drug
DB01182	drug
DB01193	drug
DB00540	drug
DB01365	drug
DB01291	drug
DB09351	drug
DB01118	drug
DB00182	drug
DB00555	drug
DB00668	drug
DB00408	drug
DB01064	drug
DB01407	drug
DB01001	drug
DB00264	drug
DB00195	drug
DB08808	drug
DB00841	drug
DB00938	drug
DB08893	drug
DB00373	drug
DB00321	drug
DB00248	drug
DB01102	drug
DB06216	drug
DB01297	drug
DB00983	drug
DB04861	drug
DB04846	drug
DB00370	drug
DB01049	drug
DB01210	drug
DB01580	drug
DB01203	drug
carazolol	drug
DB09301	drug
2668	protein
DB00661	drug
775	protein
DB09229	drug
DB00653	drug
DB00825	drug
DB13500	drug
DB00568	drug
DB08872	drug
DB09089	drug
DB09230	drug
DB00230	drug
DB00270	drug
DB00622	drug
DB01023	drug
DB12278	drug
DB00996	drug
DB00308	drug
DB00898	drug
DB00381	drug
DB09090	drug
DB00343	drug
DB01115	drug
DB00401	drug
DB00393	drug
DB00421	drug
DB04920	drug
DB09235	drug
DB00201	drug
3708	protein
DB00909	drug
767	protein
DB03904	drug
1499	protein
DB00071	drug
5925	protein
DB00030	drug
1026	protein
DB00129	drug
10166	protein
DB06616	drug
1017	protein
DB04272	drug
9146	protein
DB01277	drug
3486	protein
DB00523	drug
DB04866	drug
1277	protein
DB00048	drug
DB00091	drug
819	protein
1445	protein
DB01254	drug
DB00047	drug
3643	protein
DB01307	drug
DB09564	drug
DB01309	drug
DB01306	drug
DB00046	drug
3480	protein
DB01179	drug
DB03754	drug
1634	protein
DB00002	drug
1956	protein
DB00072	drug
DB09559	drug
DB00317	drug
DB00281	drug
DB00530	drug
DB05294	drug
DB00279	drug
5111	protein
DB00444	drug
7155	protein
DB00380	drug
DB00970	drug
DB00773	drug
DB00694	drug
1915	protein
DB08875	drug
3791	protein
DB05578	drug
DB00398	drug
DB08901	drug
DB08896	drug
DB09079	drug
DB06626	drug
DB09078	drug
DB09371	drug
2099	protein
DB00977	drug
DB00655	drug
DB01708	drug
DB00947	drug
DB00882	drug
DB00648	drug
DB01196	drug
DB01357	drug
DB00396	drug
DB00783	drug
DB06202	drug
DB00286	drug
DB00823	drug
DB06710	drug
DB01108	drug
DB00367	drug
DB11619	drug
DB01431	drug
DB00539	drug
DB04575	drug
DB01183	drug
DB00675	drug
DB00957	drug
DB04938	drug
estropipate	drug
DB01406	drug
DB00304	drug
DB01185	drug
DB06401	drug
DB13943	drug
DB09070	drug
DB01065	drug
DB00481	drug
DB00603	drug
DB00890	drug
DB00624	drug
DB00255	drug
DB13954	drug
2260	protein
DB01109	drug
DB00039	drug
neridronic-acid	drug
2224	protein
DB00884	drug
DB00630	drug
DB00282	drug
minodronic-acid	drug
DB00399	drug
DB00710	drug
DB00070	drug
7040	protein
DB01034	drug
2194	protein
DB01083	drug
DB00339	drug
DB09517	drug
2512	protein
DB00893	drug
DB05099	drug
2243	protein
DB00015	drug
DB00031	drug
DB11571	drug
DB11572	drug
DB00364	drug
DB00029	drug
DB00009	drug
DB00635	drug
2908	protein
DB01234	drug
DB00663	drug
fludrocortisone-acetate	drug
DB00741	drug
DB01410	drug
DB00596	drug
DB00620	drug
megestrol-acetate	drug
DB00324	drug
DB00687	drug
DB00223	drug
dexamethasone-sodium-phosphate	drug
DB00443	drug
methylprednisolone-aceponate	drug
cortisone	drug
DB00860	drug
prednisolone-acetate	drug
fluocinolone-acetonide	drug
DB00873	drug
DB00588	drug
hydrocortisone-butyrate	drug
DB01260	drug
DB00896	drug
DB00547	drug
